title,year_range,publisher,genre,characteristic,platform,user_avg_range
Tony Hawk's Pro Skater 2,1995-2000,Activision,Sports,Skateboarding,PlayStation,7-8
Tony Hawk's Pro Skater 2,1995-2000,Activision,Sports,Skateboarding,Dreamcast,6-7
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,PlayStation2,7-8
Grand Theft Auto III,2000-2005,RockstarGames,Action Adventure,Open-World,PlayStation2,8-9
NFL 2K1,1995-2000,Sega,Sports,Football,Dreamcast,6-7
Resident Evil 4,2000-2005,Capcom,Action Adventure,Horror,PlayStation2,8-9
Metal Gear Solid 2: Sons of Liberty,2000-2005,Konami,Action Adventure,Stealth,PlayStation2,8-9
Grand Theft Auto: San Andreas,2000-2005,RockstarGames,Action Adventure,Open-World,PlayStation2,8-9
Grand Theft Auto: Vice City,2000-2005,RockstarGames,Action Adventure,Open-World,PlayStation2,8-9
Gran Turismo 3: A-Spec,2000-2005,SonyInteractiveEntertainment,Racing,GT/Street,PlayStation2,8-9
Madden NFL 2003,2000-2005,EA,Sports,Football,PlayStation2,7-8
Tony Hawk's Pro Skater 2,2000-2005,Activision,Sports,Skateboarding,GameBoyAdvance,6-7
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,PlayStation2,8-9
Madden NFL 2002,2000-2005,EA,Sports,Football,PlayStation2,7-8
Madden NFL 2004,2000-2005,EA,Sports,Football,PlayStation2,8-9
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,Xbox,7-8
NCAA Football 2004,2000-2005,EA,Sports,Football,PlayStation2,8-9
Sid Meier's Civilization IV,2000-2005,2kGames,Strategy,Historic,PC,8-9
Madden NFL 2004,2000-2005,EA,Sports,Football,GameCube,6-7
Virtua Fighter 4,2000-2005,Sega,Fighting,3D,PlayStation2,8-9
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,PlayStation2,8-9
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,Xbox,7-8
SSX,1995-2000,EA,Sports,Snowboarding,PlayStation2,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,PlayStation2,8-9
SoulCalibur 2,2000-2005,Bandai,Fighting,3D,GameCube,8-9
World Soccer Winning Eleven 6 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
NFL 2K3,2000-2005,Sega,Sports,Football,PlayStation2,7-8
Viewtiful Joe,2000-2005,CloverStudio,Action,Beat-Em-Up,GameCube,8-9
Virtua Fighter 4: Evolution,2000-2005,Sega,Fighting,3D,PlayStation2,8-9
World Soccer Winning Eleven 7 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
NBA 2K2,2000-2005,Sega,Sports,Basketball,Dreamcast,7-8
SoulCalibur II,2000-2005,Bandai,Fighting,3D,PlayStation2,8-9
NFL 2K3,2000-2005,Sega,Sports,Football,GameCube,8-9
SSX Tricky,2000-2005,EA,Sports,Snowboarding,PlayStation2,8-9
NHL 2002,2000-2005,EA,Sports,Ice Hockey,PlayStation2,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,GameCube,8-9
Forza Motorsport,2000-2005,XboxGamesStudios,Racing,GT/Street,Xbox,7-8
Madden NFL 2004,2000-2005,EA,Sports,Football,Xbox,8-9
World Soccer Winning Eleven 7 International,2000-2005,EA,Sports,Soccer,PC,7-8
Madden NFL 2003,2000-2005,EA,Sports,Football,GameCube,8-9
ESPN NFL 2K5,2000-2005,Sega,Sports,Football,Xbox,8-9
Madden NFL 2003,2000-2005,Sega,Sports,Football,Xbox,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,Xbox,8-9
SoulCalibur II,2000-2005,Bandai,Fighting,3D,Xbox,8-9
Tony Hawk's Pro Skater,1995-2000,Activision,Sports,Skateboarding,PlayStation,8-9
Final Fantasy X,2000-2005,SquareEnix,JRPG,Fantasy,PlayStation2,8-9
Tiger Woods PGA Tour 2003,2000-2005,EA,Sports,Golf,PC,4-5
Madden NFL 2005,2000-2005,EA,Sports,Football,Xbox,7-8
ESPN NFL Football,2000-2005,Sega,Sports,Football,PlayStation2,8-9
Guitar Hero,2000-2005,Activision,Rhythm,Music,PlayStation2,8-9
F1 Challenge '99-'02,2000-2005,EA,Racing,FormulaOne,PC,7-8
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,GameCube,8-9
Madden NFL 2001,1995-2000,EA,Sports,Football,PlayStation2,7-8
Klonoa 2: Lunatea's Veil,2000-2005,Bandai,Platformer,3D,PlayStation2,8-9
IL-2 Sturmovik,2000-2005,Ubisoft,Simulation,Flight,PC,8-9
Metal Gear Solid 3: Snake Eater,2000-2005,Konami,Action Adventure,Stealth,PlayStation2,8-9
Twisted Metal: Black,2000-2005,SonyInteractiveEntertainment,Racing,Car/Combat,PlayStation2,8-9
NCAA Football 2003,2000-2005,EA,Sports,Football,PlayStation2,8-9
Tiger Woods PGA Tour 2005,2000-2005,EA,Sports,Golf,PC,4-5
ESPN NFL Football,2000-2005,Sega,Sports,Football,Xbox,8-9
NCAA Football 2003,2000-2005,EA,Sports,Football,GameCube,8-9
Tony Hawk's Pro Skater 2,1995-2000,Ubisoft,Sports,Skateboarding,PC,8-9
Madden NFL 2005,2000-2005,EA,Sports,Football,PlayStation2,7-8
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,GameCube,8-9
Neverwinter Nights,2000-2005,EA,RPG,Fantasy,PC,8-9
World Soccer Winning Eleven 8 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
