id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
1;1;The Legend of Zelda: Ocarina of Time;1998;Nintendo;Action Adventure;Fantasy;Nintendo64;99;9.1;1 Player
2;2;Tony Hawk's Pro Skater 2;2000;Activision;Sports;Skateboarding;PlayStation;98;7.4;not specified
3;3;Grand Theft Auto IV;2008;RockstarGames;Action Adventure;Open-World;PlayStation3;98;7.5;1 Player
4;4;SoulCalibur;1999;Bandai;Fighting;3D;Dreamcast;98;8.6;1 to 2
5;5;Grand Theft Auto IV;2008;RockstarGames;Action Adventure;Open-World;Xbox360;98;7.9;1 Player
6;6;Super Mario Galaxy;2007;Nintendo;Platformer;3D;Wii;97;9.0;No Online Multiplayer
7;7;Super Mario Galaxy 2;2010;Nintendo;Platformer;3D;Wii;97;9.1;No Online Multiplayer
8;8;Grand Theft Auto V;2014;RockstarGames;Action Adventure;Open-World;XboxOne;97;7.8;1 to 30
9;9;Grand Theft Auto V;2013;RockstarGames;Action Adventure;Open-World;PlayStation3;97;8.3;1 to 16
10;10;Grand Theft Auto V;2013;RockstarGames;Action Adventure;Open-World;Xbox360;97;8.3;1 to 16
11;11;Tony Hawk's Pro Skater 2;2000;Activision;Sports;Skateboarding;Dreamcast;97;6.2;not specified
12;12;The Legend of Zelda: Breath of the Wild;2017;Nintendo;Action Adventure;Open-World;Switch;97;8.5;No Online Multiplayer
13;13;Tony Hawk's Pro Skater 3;2001;Activision;Sports;Skateboarding;PlayStation2;97;7.4;1 to 2
14;14;Perfect Dark;2000;Rare;FPS;Sci-Fi;Nintendo64;97;8.9;not specified
15;15;Grand Theft Auto V;2014;RockstarGames;Action Adventure;Open-World;PlayStation4;97;8.3;1 to 30
16;16;Metroid Prime;2002;Nintendo;FPS;Sci-Fi;GameCube;97;9.2;1 Player
17;17;Grand Theft Auto III;2001;RockstarGames;Action Adventure;Open-World;PlayStation2;97;8.5;1 Player
18;18;Super Mario Odyssey;2017;Nintendo;Platformer;3D;Switch;97;8.9;No Online Multiplayer
19;19;Halo: Combat Evolved;2001;XboxGamesStudios;FPS;Sci-Fi;Xbox;97;8.6;1 to 4
20;20;NFL 2K1;2000;Sega;Sports;Football;Dreamcast;97;6.4;not specified
21;21;Half-Life 2;2004;Valve;FPS;Sci-Fi;PC;96;9.1;No Online Multiplayer
22;22;Grand Theft Auto V;2015;RockstarGames;Action Adventure;Open-World;PC;96;7.7;1 to 32
23;23;The Legend of Zelda: Breath of the Wild;2017;Nintendo;Action Adventure;Open-World;WiiU;96;8.2;No Online Multiplayer
24;24;BioShock;2007;2kGames;FPS;Sci-Fi;Xbox360;96;8.9;No Online Multiplayer
25;25;GoldenEye 007;1997;Rare;FPS;Modern;Nintendo64;96;9.1;1 to 4
26;26;Uncharted 2: Among Thieves;2009;SonyInteractiveEntertainment;Action Adventure;Linear;PlayStation3;96;8.9;No Online Multiplayer
27;27;Resident Evil 4;2005;Capcom;Action Adventure;Horror;GameCube;96;9.3;1 Player
28;28;The Orange Box;2007;Valve;FPS;Sci-Fi;Xbox360;96;8.8;16  Online
29;29;The Orange Box;2007;Valve;FPS;Sci-Fi;PC;96;9.2;16  Online
30;30;Batman: Arkham City;2011;RocksteadyStudios;Action Adventure;Open-World;PlayStation3;96;8.7;No Online Multiplayer
31;31;Tekken 3;1998;Bandai;Fighting;3D;PlayStation;96;9.1;1 to 2
32;32;Mass Effect 2;2010;EA;Action RPG;Sci-Fi;Xbox360;96;8.9;No Online Multiplayer
33;33;The Legend of Zelda: Twilight Princess;2006;Nintendo;Action Adventure;Fantasy;GameCube;96;8.9;1 Player
34;34;The Elder Scrolls V: Skyrim;2011;BethesdaSoftworks;Action RPG;Fantasy;Xbox360;96;8.5;No Online Multiplayer
35;35;Half-Life;1998;Valve;FPS;Sci-Fi;PC;96;9.1;1 to 32
36;36;Resident Evil 4;2005;Capcom;Action Adventure;Horror;PlayStation2;96;8.9;1 Player
37;37;The Legend of Zelda: The Wind Waker;2003;Nintendo;Action Adventure;Fantasy;GameCube;96;8.9;1 Player
38;38;Gran Turismo;1998;SonyInteractiveEntertainment;Racing;GT/Street;PlayStation;96;8.6;1 to 2
39;39;BioShock;2007;2kGames;FPS;Sci-Fi;PC;96;8.5;No Online Multiplayer
40;40;Metal Gear Solid 2: Sons of Liberty;2001;Konami;Action Adventure;Stealth;PlayStation2;96;8.8;1 Player
41;41;Grand Theft Auto Double Pack;2003;RockstarGames;Action Adventure;Open-World;Xbox;96;7.9;1 Player
42;42;Baldur's Gate II: Shadows of Amn;2000;BlackIsleStudios;RPG;Fantasy;PC;95;9.2;1 to 6
43;43;Grand Theft Auto: San Andreas;2004;RockstarGames;Action Adventure;Open-World;PlayStation2;95;9.0;1 to 2
44;44;Grand Theft Auto: Vice City;2002;RockstarGames;Action Adventure;Open-World;PlayStation2;95;8.8;1 Player
45;45;LittleBigPlanet;2008;SonyInteractiveEntertainment;Platformer;3D;PlayStation3;95;6.8;1 to 4
46;46;The Legend of Zelda Collector's Edition;2003;Nintendo;Action Adventure;Fantasy;GameCube;95;9.0;1 Player
47;47;Red Dead Redemption;2010;RockstarGames;Action Adventure;Open-World;PlayStation3;95;8.9;1 to 16
48;48;Gran Turismo 3: A-Spec;2001;SonyInteractiveEntertainment;Racing;GT/Street;PlayStation2;95;8.4;1 to 2
49;49;Halo 2;2004;XboxGamesStudios;FPS;Sci-Fi;Xbox;95;8.2;1 to 16
50;50;The Legend of Zelda: A Link to the Past;2002;Nintendo;Action Adventure;Fantasy;GameBoyAdvance;95;8.9;not specified
51;51;The Legend of Zelda: Majora's Mask;2000;Nintendo;Action Adventure;Fantasy;Nintendo64;95;9.1;1 Player
52;52;The Last of Us;2013;SonyInteractiveEntertainment;Action Adventure;Modern;PlayStation3;95;9.2;1 to 8
53;53;The Legend of Zelda: Twilight Princess;2006;Nintendo;Action Adventure;Fantasy;Wii;95;9.0;No Online Multiplayer
54;54;Madden NFL 2003;2002;EA;Sports;Football;PlayStation2;95;7.4;1 to 2
55;55;Tony Hawk's Pro Skater 2;2001;Activision;Sports;Skateboarding;GameBoyAdvance;95;7.0;not specified
56;56;The Last of Us Remastered;2014;SonyInteractiveEntertainment;Action Adventure;Modern;PlayStation4;95;9.1;1 to 8
57;57;Portal 2;2011;Valve;Platformer;Sci-Fi;PC;95;9.0;not specified
58;58;Red Dead Redemption;2010;RockstarGames;Action Adventure;Open-World;Xbox360;95;9.0;1 to 16
59;59;Portal 2;2011;Valve;Platformer;Sci-Fi;Xbox360;95;8.7;not specified
60;60;Metal Gear Solid V: The Phantom Pain;2015;Konami;Action Adventure;Open-World;XboxOne;95;7.4;1 to 16
61;61;Portal 2;2011;Valve;Platformer;Sci-Fi;PlayStation3;95;8.5;not specified
62;62;World of Goo;2008;Nintendo;Puzzle;2D;Wii;94;8.7;1 to 4
63;63;BioShock Infinite;2013;2kGames;FPS;Sci-Fi;PlayStation3;94;8.5;No Online Multiplayer
64;64;Final Fantasy IX;2000;SquareEnix;JRPG;Fantasy;PlayStation;94;8.9;1 Player
65;65;Call of Duty: Modern Warfare 2;2009;Activision;FPS;Modern;PlayStation3;94;6.4;1 to 18
66;66;Tony Hawk's Pro Skater 4;2002;Activision;Sports;Skateboarding;PlayStation2;94;8.4;1 to 8
67;67;Devil May Cry;2001;Capcom;Action Adventure;Fantasy;PlayStation2;94;8.6;1 Player
68;68;Call of Duty 4: Modern Warfare;2007;Activision;FPS;Modern;PlayStation3;94;8.4;1  to 18
69;69;Madden NFL 2002;2001;EA;Sports;Football;PlayStation2;94;7.4;1 to 8
70;70;God of War;2018;SonyInteractiveEntertainment;Action Adventure;Linear;PlayStation4;94;9.1;No Online Multiplayer
71;71;Batman: Arkham City;2011;RocksteadyStudios;Action Adventure;Open-World;Xbox360;94;8.7;No Online Multiplayer
72;72;The Elder Scrolls V: Skyrim;2011;BethesdaSoftworks;Action RPG;Fantasy;PC;94;8.2;No Online Multiplayer
73;73;Mass Effect 2;2010;EA;Action RPG;Sci-Fi;PC;94;8.8;No Online Multiplayer
74;74;The Legend of Zelda: Ocarina of Time 3D;2011;Nintendo;Action Adventure;Fantasy;3DS;94;8.9;No Online Multiplayer
