title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
The Legend of Zelda: Ocarina of Time,1995-2000,Nintendo,Action Adventure,Fantasy,Nintendo64,1 Player,99,9.1
Tony Hawk's Pro Skater 2,1995-2000,Activision,Sports,Skateboarding,PlayStation,not specified,98,7.4
Grand Theft Auto IV,2005-2010,RockstarGames,Action Adventure,Open-World,PlayStation3,1 Player,98,7.5
SoulCalibur,1995-2000,Bandai,Fighting,3D,Dreamcast,1 to 2,98,8.6
Grand Theft Auto IV,2005-2010,RockstarGames,Action Adventure,Open-World,Xbox360,1 Player,98,7.9
Super Mario Galaxy,2005-2010,Nintendo,Platformer,3D,Wii,No Online Multiplayer,97,9.0
Super Mario Galaxy 2,2005-2010,Nintendo,Platformer,3D,Wii,No Online Multiplayer,97,9.1
Grand Theft Auto V,2010-2015,RockstarGames,Action Adventure,Open-World,XboxOne,1 to 30,97,7.8
Grand Theft Auto V,2010-2015,RockstarGames,Action Adventure,Open-World,PlayStation3,1 to 16,97,8.3
Grand Theft Auto V,2010-2015,RockstarGames,Action Adventure,Open-World,Xbox360,1 to 16,97,8.3
Tony Hawk's Pro Skater 2,1995-2000,Activision,Sports,Skateboarding,Dreamcast,not specified,97,6.2
The Legend of Zelda: Breath of the Wild,2015-2020,Nintendo,Action Adventure,Open-World,Switch,No Online Multiplayer,97,8.5
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,PlayStation2,1 to 2,97,7.4
Perfect Dark,1995-2000,Rare,FPS,Sci-Fi,Nintendo64,not specified,97,8.9
Grand Theft Auto V,2010-2015,RockstarGames,Action Adventure,Open-World,PlayStation4,1 to 30,97,8.3
Metroid Prime,2000-2005,Nintendo,FPS,Sci-Fi,GameCube,1 Player,97,9.2
Grand Theft Auto III,2000-2005,RockstarGames,Action Adventure,Open-World,PlayStation2,1 Player,97,8.5
Super Mario Odyssey,2015-2020,Nintendo,Platformer,3D,Switch,No Online Multiplayer,97,8.9
